time	V(vin)	V(vout)	I(R1)
1.190887239982310e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.191911239982215e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.192935239982120e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.193959239982025e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.194983239981930e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.196007239981835e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.197031239981740e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.198055239981645e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.199079239981551e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.200103239981456e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.201127239981361e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.202151239981266e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.203175239981171e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.204199239981076e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.205223239980981e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.206247239980886e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.207271239980791e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.208295239980696e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.209319239980602e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.210343239980507e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.211367239980412e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.212391239980317e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.213415239980222e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.214439239980127e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.215463239980032e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.216487239979937e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.217511239979842e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.218535239979747e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.219559239979653e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.220583239979558e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.221607239979463e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.222631239979368e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.223655239979273e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.224679239979178e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.225703239979083e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.226727239978988e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.227751239978893e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.228775239978798e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.229799239978704e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.230823239978609e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.231847239978514e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.232871239978419e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.233895239978324e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.234919239978229e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.235943239978134e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.236967239978039e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.237991239977944e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.239015239977849e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.240039239977755e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.241063239977660e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.242087239977565e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.243111239977470e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.244135239977375e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.245159239977280e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.246183239977185e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.247207239977090e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.248231239976995e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.249255239976900e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.250279239976806e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.251303239976711e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.252327239976616e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.253351239976521e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.254375239976426e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.255399239976331e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.256423239976236e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.257447239976141e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.258471239976046e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.259495239975952e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.260519239975857e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.261543239975762e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.262567239975667e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.263591239975572e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.264615239975477e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.265639239975382e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.266663239975287e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.267687239975192e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.268711239975097e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.269735239975003e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.270759239974908e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.271783239974813e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.272807239974718e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.273831239974623e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.274855239974528e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.275879239974433e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.276903239974338e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.277927239974243e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.278951239974148e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.279975239974054e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.280999239973959e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.282023239973864e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.283047239973769e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.284071239973674e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.285095239973579e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.286119239973484e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.287143239973389e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.288167239973294e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.289191239973199e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.290215239973105e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.291239239973010e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.292263239972915e-003	2.000000e+001	2.000000e+000	2.000000e-004
